Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,81.0
2004-07,0.0
2004-08,52.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,69.0
2005-02,47.0
2005-03,100.0
2005-04,89.0
2005-05,0.0
2005-06,78.0
2005-07,0.0
2005-08,30.0
2005-09,42.0
2005-10,54.0
2005-11,39.0
2005-12,30.0
2006-01,48.0
2006-02,45.0
2006-03,58.0
2006-04,56.0
2006-05,45.0
2006-06,41.0
2006-07,25.0
2006-08,38.0
2006-09,18.0
2006-10,33.0
2006-11,38.0
2006-12,24.0
2007-01,29.0
2007-02,31.0
2007-03,58.0
2007-04,51.0
2007-05,52.0
2007-06,38.0
2007-07,45.0
2007-08,28.0
2007-09,46.0
2007-10,34.0
2007-11,31.0
2007-12,33.0
2008-01,50.0
2008-02,53.0
2008-03,58.0
2008-04,54.0
2008-05,59.0
2008-06,43.0
2008-07,43.0
2008-08,36.0
2008-09,37.0
2008-10,49.0
2008-11,28.0
2008-12,31.0
2009-01,55.0
2009-02,54.0
2009-03,93.0
2009-04,84.0
2009-05,77.0
2009-06,66.0
2009-07,50.0
2009-08,56.0
2009-09,52.0
2009-10,64.0
2009-11,67.0
2009-12,49.0
2010-01,74.0
2010-02,79.0
2010-03,97.0
2010-04,93.0
2010-05,81.0
2010-06,78.0
2010-07,60.0
2010-08,59.0
2010-09,58.0
2010-10,55.0
2010-11,59.0
2010-12,50.0
2011-01,66.0
2011-02,67.0
2011-03,71.0
2011-04,67.0
2011-05,80.0
2011-06,58.0
2011-07,56.0
2011-08,50.0
2011-09,50.0
2011-10,41.0
2011-11,54.0
2011-12,50.0
2012-01,65.0
2012-02,72.0
2012-03,83.0
2012-04,55.0
2012-05,62.0
2012-06,50.0
2012-07,46.0
2012-08,44.0
2012-09,46.0
2012-10,41.0
2012-11,42.0
2012-12,41.0
2013-01,49.0
2013-02,55.0
2013-03,60.0
2013-04,53.0
2013-05,58.0
2013-06,47.0
2013-07,45.0
2013-08,42.0
2013-09,39.0
2013-10,36.0
2013-11,42.0
2013-12,28.0
2014-01,44.0
2014-02,44.0
2014-03,54.0
2014-04,46.0
2014-05,66.0
2014-06,49.0
2014-07,45.0
2014-08,45.0
2014-09,42.0
2014-10,37.0
2014-11,42.0
2014-12,35.0
2015-01,45.0
2015-02,41.0
2015-03,55.0
2015-04,57.0
2015-05,74.0
2015-06,59.0
2015-07,52.0
2015-08,47.0
2015-09,40.0
2015-10,37.0
2015-11,38.0
2015-12,34.0
2016-01,38.0
2016-02,39.0
2016-03,50.0
2016-04,53.0
2016-05,62.0
2016-06,49.0
2016-07,37.0
2016-08,33.0
2016-09,34.0
2016-10,36.0
2016-11,32.0
2016-12,29.0
2017-01,35.0
2017-02,38.0
2017-03,40.0
2017-04,43.0
2017-05,65.0
2017-06,44.0
2017-07,40.0
2017-08,35.0
2017-09,32.0
2017-10,33.0
2017-11,35.0
2017-12,29.0
2018-01,40.0
2018-02,40.0
2018-03,41.0
2018-04,42.0
2018-05,51.0
2018-06,39.0
2018-07,32.0
2018-08,36.0
2018-09,38.0
2018-10,46.0
2018-11,40.0
2018-12,28.0
2019-01,38.0
2019-02,33.0
2019-03,37.0
2019-04,39.0
2019-05,46.0
2019-06,36.0
2019-07,31.0
2019-08,32.0
2019-09,32.0
2019-10,29.0
2019-11,27.0
2019-12,24.0
2020-01,30.0
2020-02,31.0
2020-03,28.0
2020-04,17.0
2020-05,26.0
2020-06,32.0
2020-07,32.0
2020-08,31.0
2020-09,32.0
2020-10,29.0
2020-11,26.0
2020-12,19.0
2021-01,20.0
2021-02,17.0
2021-03,25.0
2021-04,26.0
2021-05,23.0
2021-06,20.0
2021-07,14.0
2021-08,11.0
2021-09,14.0
2021-10,15.0
2021-11,16.0
2021-12,12.0
2022-01,23.0
2022-02,24.0
2022-03,26.0
2022-04,24.0
2022-05,28.0
2022-06,25.0
2022-07,19.0
2022-08,19.0
2022-09,18.0
2022-10,17.0
2022-11,18.0
2022-12,14.0
2023-01,21.0
2023-02,21.0
2023-03,24.0
2023-04,22.0
2023-05,25.0
2023-06,23.0
2023-07,19.0
2023-08,20.0
2023-09,18.0
2023-10,17.0
2023-11,18.0
2023-12,15.0
2024-01,18.0
2024-02,20.0
2024-03,22.0
2024-04,19.0
2024-05,20.0
2024-06,21.0
2024-07,17.0
2024-08,17.0
2024-09,16.0
2024-10,16.0
2024-11,17.0
2024-12,15.0
2025-01,15.0
2025-02,18.0
2025-03,20.0
2025-04,19.0
2025-05,22.0
2025-06,20.0
2025-07,17.0
2025-08,20.0
2025-09,17.0
2025-10,13.0
2025-11,15.0
2025-12,12.0
2026-01,15.0
2026-02,19.0
2026-03,17.0
2026-04,17.0
2026-05,19.0
2026-06,19.0
2026-07,14.0
