Month,Value
2004-01,7.0
2004-02,8.0
2004-03,35.0
2004-04,41.0
2004-05,7.0
2004-06,10.0
2004-07,15.0
2004-08,10.0
2004-09,27.0
2004-10,44.0
2004-11,34.0
2004-12,52.0
2005-01,19.0
2005-02,12.0
2005-03,16.0
2005-04,23.0
2005-05,9.0
2005-06,9.0
2005-07,10.0
2005-08,12.0
2005-09,19.0
2005-10,28.0
2005-11,27.0
2005-12,27.0
2006-01,36.0
2006-02,30.0
2006-03,35.0
2006-04,23.0
2006-05,13.0
2006-06,13.0
2006-07,11.0
2006-08,11.0
2006-09,10.0
2006-10,17.0
2006-11,15.0
2006-12,13.0
2007-01,35.0
2007-02,25.0
2007-03,23.0
2007-04,17.0
2007-05,9.0
2007-06,9.0
2007-07,11.0
2007-08,15.0
2007-09,25.0
2007-10,35.0
2007-11,47.0
2007-12,26.0
2008-01,68.0
2008-02,100.0
2008-03,66.0
2008-04,17.0
2008-05,11.0
2008-06,11.0
2008-07,9.0
2008-08,11.0
2008-09,11.0
2008-10,11.0
2008-11,14.0
2008-12,14.0
2009-01,33.0
2009-02,29.0
2009-03,37.0
2009-04,29.0
2009-05,22.0
2009-06,32.0
2009-07,77.0
2009-08,58.0
2009-09,19.0
2009-10,6.0
2009-11,7.0
2009-12,15.0
2010-01,12.0
2010-02,38.0
2010-03,26.0
2010-04,23.0
2010-05,19.0
2010-06,7.0
2010-07,6.0
2010-08,10.0
2010-09,15.0
2010-10,9.0
2010-11,6.0
2010-12,7.0
2011-01,11.0
2011-02,14.0
2011-03,20.0
2011-04,25.0
2011-05,25.0
2011-06,39.0
2011-07,10.0
2011-08,9.0
2011-09,7.0
2011-10,4.0
2011-11,5.0
2011-12,7.0
2012-01,18.0
2012-02,15.0
2012-03,28.0
2012-04,53.0
2012-05,21.0
2012-06,34.0
2012-07,17.0
2012-08,41.0
2012-09,6.0
2012-10,6.0
2012-11,6.0
2012-12,5.0
2013-01,7.0
2013-02,8.0
2013-03,9.0
2013-04,12.0
2013-05,16.0
2013-06,9.0
2013-07,14.0
2013-08,11.0
2013-09,9.0
2013-10,4.0
2013-11,4.0
2013-12,4.0
2014-01,4.0
2014-02,6.0
2014-03,5.0
2014-04,8.0
2014-05,9.0
2014-06,12.0
2014-07,22.0
2014-08,18.0
2014-09,20.0
2014-10,9.0
2014-11,8.0
2014-12,8.0
2015-01,5.0
2015-02,18.0
2015-03,15.0
2015-04,6.0
2015-05,6.0
2015-06,7.0
2015-07,7.0
2015-08,14.0
2015-09,21.0
2015-10,24.0
2015-11,16.0
2015-12,10.0
2016-01,4.0
2016-02,5.0
2016-03,4.0
2016-04,4.0
2016-05,4.0
2016-06,7.0
2016-07,3.0
2016-08,4.0
2016-09,4.0
2016-10,6.0
2016-11,11.0
2016-12,10.0
2017-01,7.0
2017-02,4.0
2017-03,3.0
2017-04,3.0
2017-05,3.0
2017-06,3.0
2017-07,4.0
2017-08,8.0
2017-09,19.0
2017-10,9.0
2017-11,15.0
2017-12,5.0
2018-01,6.0
2018-02,9.0
2018-03,5.0
2018-04,3.0
2018-05,3.0
2018-06,4.0
2018-07,3.0
2018-08,4.0
2018-09,3.0
2018-10,5.0
2018-11,8.0
2018-12,7.0
2019-01,4.0
2019-02,5.0
2019-03,8.0
2019-04,5.0
2019-05,9.0
2019-06,6.0
2019-07,5.0
2019-08,9.0
2019-09,4.0
2019-10,4.0
2019-11,10.0
2019-12,8.0
2020-01,7.0
2020-02,3.0
2020-03,4.0
2020-04,3.0
2020-05,3.0
2020-06,3.0
2020-07,4.0
2020-08,4.0
2020-09,4.0
2020-10,2.0
2020-11,6.0
2020-12,8.0
2021-01,3.0
2021-02,3.0
2021-03,4.0
2021-04,7.0
2021-05,3.0
2021-06,2.0
2021-07,2.0
2021-08,2.0
2021-09,2.0
2021-10,2.0
2021-11,5.0
2021-12,6.0
2022-01,4.0
2022-02,3.0
2022-03,6.0
2022-04,7.0
2022-05,3.0
2022-06,4.0
2022-07,3.0
2022-08,5.0
2022-09,9.0
2022-10,4.0
2022-11,11.0
2022-12,7.0
2023-01,3.0
2023-02,3.0
2023-03,3.0
2023-04,3.0
2023-05,4.0
2023-06,6.0
2023-07,3.0
2023-08,3.0
2023-09,5.0
2023-10,6.0
2023-11,4.0
2023-12,4.0
2024-01,6.0
2024-02,4.0
2024-03,5.0
2024-04,6.0
2024-05,4.0
2024-06,3.0
2024-07,3.0
2024-08,2.0
2024-09,3.0
2024-10,3.0
2024-11,6.0
2024-12,2.0
2025-01,3.0
2025-02,3.0
2025-03,5.0
2025-04,7.0
2025-05,5.0
2025-06,3.0
2025-07,4.0
2025-08,6.0
2025-09,3.0
2025-10,3.0
2025-11,3.0
2025-12,3.0
2026-01,8.0
2026-02,6.0
2026-03,4.0
2026-04,5.0
