Month,Value
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,59.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,31.0
2006-02,0.0
2006-03,38.0
2006-04,0.0
2006-05,32.0
2006-06,40.0
2006-07,0.0
2006-08,34.0
2006-09,0.0
2006-10,27.0
2006-11,0.0
2006-12,28.0
2007-01,26.0
2007-02,26.0
2007-03,26.0
2007-04,25.0
2007-05,30.0
2007-06,26.0
2007-07,40.0
2007-08,19.0
2007-09,28.0
2007-10,24.0
2007-11,31.0
2007-12,30.0
2008-01,30.0
2008-02,25.0
2008-03,53.0
2008-04,32.0
2008-05,52.0
2008-06,36.0
2008-07,39.0
2008-08,31.0
2008-09,31.0
2008-10,28.0
2008-11,23.0
2008-12,17.0
2009-01,22.0
2009-02,33.0
2009-03,41.0
2009-04,38.0
2009-05,49.0
2009-06,39.0
2009-07,39.0
2009-08,37.0
2009-09,41.0
2009-10,41.0
2009-11,43.0
2009-12,36.0
2010-01,58.0
2010-02,52.0
2010-03,62.0
2010-04,62.0
2010-05,61.0
2010-06,60.0
2010-07,45.0
2010-08,43.0
2010-09,36.0
2010-10,32.0
2010-11,35.0
2010-12,39.0
2011-01,54.0
2011-02,48.0
2011-03,56.0
2011-04,58.0
2011-05,55.0
2011-06,55.0
2011-07,45.0
2011-08,37.0
2011-09,34.0
2011-10,28.0
2011-11,32.0
2011-12,30.0
2012-01,41.0
2012-02,41.0
2012-03,47.0
2012-04,48.0
2012-05,52.0
2012-06,43.0
2012-07,44.0
2012-08,46.0
2012-09,42.0
2012-10,34.0
2012-11,40.0
2012-12,33.0
2013-01,54.0
2013-02,55.0
2013-03,60.0
2013-04,58.0
2013-05,61.0
2013-06,55.0
2013-07,49.0
2013-08,49.0
2013-09,47.0
2013-10,45.0
2013-11,41.0
2013-12,38.0
2014-01,69.0
2014-02,63.0
2014-03,72.0
2014-04,67.0
2014-05,83.0
2014-06,70.0
2014-07,66.0
2014-08,54.0
2014-09,61.0
2014-10,56.0
2014-11,52.0
2014-12,47.0
2015-01,90.0
2015-02,72.0
2015-03,74.0
2015-04,77.0
2015-05,100.0
2015-06,95.0
2015-07,81.0
2015-08,74.0
2015-09,71.0
2015-10,60.0
2015-11,54.0
2015-12,52.0
2016-01,85.0
2016-02,69.0
2016-03,69.0
2016-04,77.0
2016-05,96.0
2016-06,88.0
2016-07,65.0
2016-08,52.0
2016-09,57.0
2016-10,53.0
2016-11,59.0
2016-12,48.0
2017-01,86.0
2017-02,66.0
2017-03,69.0
2017-04,75.0
2017-05,93.0
2017-06,90.0
2017-07,75.0
2017-08,67.0
2017-09,59.0
2017-10,56.0
2017-11,59.0
2017-12,44.0
2018-01,85.0
2018-02,63.0
2018-03,63.0
2018-04,64.0
2018-05,86.0
2018-06,80.0
2018-07,61.0
2018-08,67.0
2018-09,65.0
2018-10,59.0
2018-11,60.0
2018-12,48.0
2019-01,78.0
2019-02,64.0
2019-03,59.0
2019-04,70.0
2019-05,84.0
2019-06,69.0
2019-07,59.0
2019-08,60.0
2019-09,55.0
2019-10,49.0
2019-11,42.0
2019-12,37.0
2020-01,67.0
2020-02,53.0
2020-03,41.0
2020-04,36.0
2020-05,48.0
2020-06,48.0
2020-07,47.0
2020-08,52.0
2020-09,54.0
2020-10,49.0
2020-11,44.0
2020-12,38.0
2021-01,53.0
2021-02,41.0
2021-03,47.0
2021-04,47.0
2021-05,55.0
2021-06,46.0
2021-07,33.0
2021-08,31.0
2021-09,38.0
2021-10,40.0
2021-11,41.0
2021-12,48.0
2022-01,66.0
2022-02,53.0
2022-03,58.0
2022-04,71.0
2022-05,75.0
2022-06,67.0
2022-07,54.0
2022-08,50.0
2022-09,44.0
2022-10,42.0
2022-11,43.0
2022-12,44.0
2023-01,62.0
2023-02,50.0
2023-03,54.0
2023-04,60.0
2023-05,57.0
2023-06,57.0
2023-07,50.0
2023-08,46.0
2023-09,43.0
2023-10,42.0
2023-11,34.0
2023-12,41.0
2024-01,49.0
2024-02,38.0
2024-03,38.0
2024-04,42.0
2024-05,43.0
2024-06,39.0
2024-07,35.0
2024-08,32.0
2024-09,34.0
2024-10,30.0
2024-11,30.0
2024-12,30.0
2025-01,37.0
2025-02,34.0
2025-03,32.0
2025-04,35.0
2025-05,35.0
2025-06,33.0
2025-07,31.0
2025-08,27.0
2025-09,25.0
2025-10,24.0
2025-11,25.0
2025-12,27.0
2026-01,30.0
2026-02,30.0
2026-03,32.0
2026-04,34.0
